Month,Passengers
1958-03-01,379.22827
1958-04-01,356.16312
1958-05-01,371.91788
1958-06-01,412.71915
1958-07-01,488.62717
1958-08-01,500.75598
1958-09-01,452.01578
1958-10-01,358.80093
1958-11-01,327.43585
1958-12-01,381.44418
1959-01-01,352.82962
1959-02-01,351.09424
1959-03-01,373.68085
1959-04-01,430.8253
1959-05-01,407.0335
1959-06-01,500.08328
1959-07-01,545.2806
1959-08-01,559.5162
1959-09-01,466.70322
1959-10-01,431.56235
1959-11-01,347.69952
1959-12-01,320.135
1960-01-01,423.23007
1960-02-01,402.402
1960-03-01,449.09067
1960-04-01,381.68262
1960-05-01,499.70642
1960-06-01,529.8532
1960-07-01,539.7857
1960-08-01,605.9999
1960-09-01,503.97842
1960-10-01,453.38907
1960-11-01,403.13303
1960-12-01,418.20502
