Month,Passengers
1958-03-01,387.8775
1958-04-01,384.57483
1958-05-01,356.86267
1958-06-01,438.57858
1958-07-01,481.5918
1958-08-01,499.35318
1958-09-01,458.01978
1958-10-01,364.2565
1958-11-01,331.09253
1958-12-01,323.29053
1959-01-01,347.37866
1959-02-01,348.1191
1959-03-01,367.20386
1959-04-01,400.64825
1959-05-01,397.08627
1959-06-01,475.38434
1959-07-01,550.61444
1959-08-01,531.7155
1959-09-01,460.03098
1959-10-01,398.07956
1959-11-01,352.2353
1959-12-01,375.98264
1960-01-01,414.62985
1960-02-01,396.5187
1960-03-01,441.09177
1960-04-01,413.2946
1960-05-01,480.74268
1960-06-01,540.811
1960-07-01,595.1374
1960-08-01,630.16077
1960-09-01,543.3114
1960-10-01,461.1763
1960-11-01,408.92175
1960-12-01,457.63593
