Month,Passengers
1958-03-01,390.50504
1958-04-01,368.91776
1958-05-01,369.13983
1958-06-01,439.93405
1958-07-01,517.58746
1958-08-01,516.5576
1958-09-01,455.0801
1958-10-01,373.92346
1958-11-01,316.2706
1958-12-01,331.1171
1959-01-01,342.40918
1959-02-01,341.90536
1959-03-01,409.89328
1959-04-01,374.09964
1959-05-01,380.4527
1959-06-01,494.17416
1959-07-01,564.39343
1959-08-01,565.6534
1959-09-01,480.9736
1959-10-01,412.68765
1959-11-01,344.68875
1959-12-01,369.88373
1960-01-01,419.26788
1960-02-01,381.88406
1960-03-01,423.28308
1960-04-01,407.0572
1960-05-01,471.74487
1960-06-01,530.8764
1960-07-01,579.8177
1960-08-01,602.4375
1960-09-01,560.99994
1960-10-01,426.148
1960-11-01,441.1142
1960-12-01,409.5014
