Month,Homicides
2017-01-01,444.7764
2017-02-01,460.04898
2017-03-01,487.39853
2017-04-01,463.7521
2017-05-01,461.4806
2017-06-01,388.40372
2017-07-01,389.73132
2017-08-01,394.93936
2017-09-01,411.77725
2017-10-01,478.6314
2017-11-01,482.26205
2017-12-01,447.8459
2018-01-01,474.56158
2018-02-01,451.3726
2018-03-01,394.44626
2018-04-01,480.91437
2018-05-01,471.72568
2018-06-01,395.2357
2018-07-01,415.12042
2018-08-01,409.35367
2018-09-01,367.20474
2018-10-01,1.5301504
2018-11-01,388.54657
2018-12-01,402.2142
2019-01-01,384.84586
2019-02-01,396.7441
2019-03-01,325.60864
2019-04-01,354.47095
2019-05-01,420.95166
2019-06-01,352.0149
2019-07-01,337.50385
2019-08-01,317.78162
2019-09-01,305.42255
2019-10-01,313.67862
2019-11-01,362.54395
2019-12-01,304.38818
2020-01-01,333.93405
2020-02-01,348.73804
2020-03-01,333.1158
2020-04-01,350.02118
