index,sine
110,1.0699179
111,1.0202849
112,1.0137875
113,1.0348452
114,1.108825
115,1.2177657
116,1.3659325
117,1.5613507
118,1.7485323
119,1.9571033
120,2.1467266
121,2.3493943
122,2.5518782
123,2.7158833
124,2.8545518
125,2.9373348
126,3.0055585
127,2.9820638
128,2.9476283
129,2.8745112
130,2.783725
131,2.613511
132,2.4383998
133,2.2272913
134,2.02056
135,1.8105651
136,1.5911312
137,1.4271919
138,1.2635437
139,1.128613
140,1.058172
141,1.0073018
142,1.0047978
143,1.0511081
144,1.1365731
145,1.2497746
146,1.402621
147,1.5846183
148,1.7867233
149,2.0023584
