index,sine
110,1.064288
111,1.0223929
112,0.98935187
113,1.0445197
114,1.1168399
115,1.19709
116,1.3709939
117,1.5055779
118,1.7474171
119,1.9440123
120,2.1813176
121,2.3985825
122,2.5210767
123,2.6792548
124,2.844839
125,2.931108
126,2.985634
127,2.9588013
128,2.9088068
129,2.8328416
130,2.7233994
131,2.5467815
132,2.4700055
133,2.2133565
134,1.9878185
135,1.8081234
136,1.6234739
137,1.4122392
138,1.267865
139,1.1364917
140,1.0629047
141,1.0249184
142,1.0050459
143,1.0442507
144,1.1312593
145,1.2588387
146,1.4221624
147,1.6015736
148,1.7816788
149,1.9880285
