index,sine
110,0.95276165
111,1.0976511
112,1.0998392
113,1.2372906
114,1.0016747
115,1.0847181
116,1.2280818
117,1.3917788
118,1.6207119
119,1.928605
120,2.1351743
121,2.29707
122,2.4727554
123,2.8740842
124,2.9367669
125,2.917511
126,2.9781976
127,2.830048
128,2.89034
129,2.792863
130,2.5778267
131,2.5637136
132,2.4302838
133,2.2403924
134,1.8323646
135,1.6358758
136,1.480575
137,1.3557261
138,1.3143961
139,1.2046068
140,1.066521
141,0.9096275
142,1.0211384
143,0.97503364
144,1.0710601
145,1.2621195
146,1.5314041
147,1.6702927
148,1.8179257
149,1.785244
