Month,Passengers
1958-06-01,439.57904
1958-07-01,504.4765
1958-08-01,508.7488
1958-09-01,449.22015
1958-10-01,366.3273
1958-11-01,313.71124
1958-12-01,353.86087
1959-01-01,343.34937
1959-02-01,360.72162
1959-03-01,374.11185
1959-04-01,385.10776
1959-05-01,403.4424
1959-06-01,484.5283
1959-07-01,541.30206
1959-08-01,545.8335
1959-09-01,461.40057
1959-10-01,398.36786
1959-11-01,345.22934
1959-12-01,356.97546
1960-01-01,397.0897
1960-02-01,395.1442
1960-03-01,432.94507
1960-04-01,422.94592
1960-05-01,470.74298
1960-06-01,532.23285
1960-07-01,592.70795
1960-08-01,597.85876
1960-09-01,520.69666
1960-10-01,445.4342
1960-11-01,428.145
1960-12-01,433.7703
