Month,Homicides
2016-03-01,416.4513
2016-04-01,428.0724
2016-05-01,454.7092
2016-06-01,348.7031
2016-07-01,366.04324
2016-08-01,341.48273
2016-09-01,364.19345
2016-10-01,409.53125
2016-11-01,468.85062
2016-12-01,482.42465
2017-01-01,501.25693
2017-02-01,475.49646
2017-03-01,488.78226
2017-04-01,462.37714
2017-05-01,437.37473
2017-06-01,383.96326
2017-07-01,345.4538
2017-08-01,373.41968
2017-09-01,388.82697
2017-10-01,446.45078
2017-11-01,445.12238
2017-12-01,491.83414
2018-01-01,463.30945
2018-02-01,457.18588
2018-03-01,427.83508
2018-04-01,470.7929
2018-05-01,426.68906
2018-06-01,391.96286
2018-07-01,364.0242
2018-08-01,399.4949
2018-09-01,356.28195
2018-10-01,415.5563
2018-11-01,385.15195
2018-12-01,395.48578
2019-01-01,383.96808
2019-02-01,400.66125
2019-03-01,355.93414
2019-04-01,340.42798
2019-05-01,341.24182
2019-06-01,308.60602
2019-07-01,319.58337
2019-08-01,335.37387
2019-09-01,332.52466
2019-10-01,336.7425
2019-11-01,342.69574
2019-12-01,348.9935
2020-01-01,358.16055
2020-02-01,375.34488
2020-03-01,357.07367
2020-04-01,357.24802
