Month,Homicides
2017-01-01,463.38803
2017-02-01,467.84183
2017-03-01,503.8308
2017-04-01,459.94522
2017-05-01,391.2251
2017-06-01,410.2631
2017-07-01,393.48727
2017-08-01,401.679
2017-09-01,391.2383
2017-10-01,458.5341
2017-11-01,496.49585
2017-12-01,461.50043
2018-01-01,465.32462
2018-02-01,460.62802
2018-03-01,431.80847
2018-04-01,472.65366
2018-05-01,417.9849
2018-06-01,414.3474
2018-07-01,397.06003
2018-08-01,444.8141
2018-09-01,372.5617
2018-10-01,401.8665
2018-11-01,381.1938
2018-12-01,372.65158
2019-01-01,355.25134
2019-02-01,408.13055
2019-03-01,336.41037
2019-04-01,346.46045
2019-05-01,365.6024
2019-06-01,341.0519
2019-07-01,340.4509
2019-08-01,324.04565
2019-09-01,317.6844
2019-10-01,310.9581
2019-11-01,321.72888
2019-12-01,308.6312
2020-01-01,322.7796
2020-02-01,340.39948
2020-03-01,333.0618
2020-04-01,355.6703
