index,sine
110,1.1396306
111,1.2353876
112,1.174268
113,1.0962902
114,1.0236568
115,1.0305957
116,1.1763624
117,1.5359715
118,1.8498005
119,2.1979518
120,2.1969864
121,2.3725815
122,2.4946468
123,2.8644547
124,3.2354655
125,2.9092803
126,2.875793
127,2.6147938
128,2.847492
129,2.779275
130,2.5638072
131,2.306286
132,2.0997932
133,2.1095884
134,1.9842643
135,2.1508276
136,1.9310073
137,1.4617704
138,1.2538135
139,1.2087106
140,1.0779468
141,1.0283136
142,0.9337386
143,0.9318612
144,0.8813661
145,1.2972028
146,1.5111337
147,1.7415737
148,1.9823155
149,1.8352526
