index,random_walk
110,1.4620461
111,1.4327053
112,1.311759
113,1.2662796
114,1.2132926
115,1.1674573
116,1.1587359
117,1.1237211
118,1.0699131
119,0.98535913
120,0.92756206
121,0.905388
122,0.88043153
123,0.8483351
124,0.84176403
125,0.8002638
126,0.7851983
127,0.73413646
128,0.7381761
129,0.73833656
130,0.7371561
131,0.740887
132,0.7413689
133,0.7605141
134,0.78368616
135,0.84825486
136,0.9118233
137,0.9869267
138,0.9765741
139,0.99929243
140,1.0541031
141,1.061887
142,1.1196907
143,1.1498653
144,1.2175218
145,1.2567595
146,1.2721591
147,1.2815665
148,1.2546276
149,1.2565182
