index,sine
110,1.0655583
111,1.0326469
112,1.0018772
113,1.0450661
114,1.11055
115,1.221202
116,1.369058
117,1.5423396
118,1.7104244
119,1.9819306
120,2.1630285
121,2.3264453
122,2.5625515
123,2.7681575
124,2.832397
125,2.9141436
126,2.9368322
127,2.9566288
128,2.905366
129,2.9116955
130,2.7074993
131,2.497302
132,2.5069501
133,2.250258
134,1.9810674
135,1.781919
136,1.5874267
137,1.411725
138,1.2736104
139,1.1241385
140,1.0556464
141,0.9944299
142,1.0055319
143,1.0676453
144,1.13325
145,1.2513837
146,1.409438
147,1.6027657
148,1.7621858
149,2.017075
