index,random_walk
110,1.4952972
111,1.3811166
112,1.3232745
113,1.2814072
114,1.2582234
115,1.1921345
116,1.2002426
117,1.115948
118,1.0668304
119,1.0319291
120,0.93415827
121,0.9206766
122,0.90563124
123,0.90446216
124,0.8734985
125,0.78542566
126,0.82392615
127,0.81133384
128,0.7505131
129,0.7453713
130,0.7344203
131,0.7691597
132,0.69865316
133,0.71925545
134,0.7365547
135,0.79449916
136,0.8540924
137,0.87500083
138,0.90814674
139,0.95887
140,1.0689176
141,1.0365154
142,1.1523067
143,1.1581688
144,1.1861788
145,1.2391707
146,1.2723675
147,1.3249788
148,1.2578332
149,1.2690629
