Month,Homicides
2018-01-01,451.1524
2018-02-01,439.91196
2018-03-01,451.91568
2018-04-01,480.5293
2018-05-01,456.50504
2018-06-01,435.8815
2018-07-01,390.25266
2018-08-01,424.11957
2018-09-01,357.8362
2018-10-01,395.65332
2018-11-01,385.1924
2018-12-01,406.4613
2019-01-01,362.60315
2019-02-01,394.7432
2019-03-01,342.74188
2019-04-01,350.51553
2019-05-01,349.69058
2019-06-01,356.99078
2019-07-01,337.5945
2019-08-01,326.08633
2019-09-01,315.89526
2019-10-01,314.95856
2019-11-01,327.5501
2019-12-01,331.91052
2020-01-01,324.52417
2020-02-01,341.96243
2020-03-01,331.9611
2020-04-01,352.4645
