Month,Passengers
1958-03-01,352.7586
1958-04-01,379.55878
1958-05-01,370.49933
1958-06-01,469.87347
1958-07-01,476.49796
1958-08-01,509.31232
1958-09-01,460.6345
1958-10-01,361.63977
1958-11-01,356.40878
1958-12-01,334.6652
1959-01-01,376.23883
1959-02-01,359.62094
1959-03-01,396.4571
1959-04-01,392.31052
1959-05-01,399.93396
1959-06-01,485.21774
1959-07-01,507.9631
1959-08-01,528.986
1959-09-01,479.8348
1959-10-01,405.29922
1959-11-01,355.4901
1959-12-01,372.58542
1960-01-01,415.0818
1960-02-01,398.9204
1960-03-01,434.79892
1960-04-01,449.51447
1960-05-01,460.32367
1960-06-01,536.25714
1960-07-01,602.1506
1960-08-01,605.40137
1960-09-01,541.1949
1960-10-01,415.6456
1960-11-01,409.04977
1960-12-01,439.0813
