index,sine
110,1.0907415
111,1.2167642
112,1.1789563
113,1.055856
114,0.9788064
115,1.0295423
116,1.3340724
117,1.5820452
118,1.5134048
119,1.9189132
120,2.0890415
121,2.2125385
122,2.5730097
123,2.8396592
124,3.1010373
125,2.7464564
126,2.837841
127,2.7478645
128,2.9784353
129,2.9022758
130,2.7906039
131,2.7450268
132,2.3502932
133,2.2059765
134,1.9444216
135,1.7171077
136,1.540378
137,1.3759155
138,1.3127556
139,1.1132684
140,1.1579845
141,1.0124831
142,0.95957285
143,0.9666635
144,0.99195665
145,1.2641599
146,1.5367416
147,1.7478008
148,1.7824056
149,1.692026
