Month,Passengers
1958-03-01,387.2658
1958-04-01,365.02255
1958-05-01,353.21472
1958-06-01,451.22348
1958-07-01,499.16495
1958-08-01,509.2348
1958-09-01,441.8111
1958-10-01,353.23428
1958-11-01,309.44116
1958-12-01,382.0561
1959-01-01,336.59454
1959-02-01,339.4185
1959-03-01,357.81305
1959-04-01,403.26993
1959-05-01,385.7768
1959-06-01,499.70767
1959-07-01,586.75793
1959-08-01,549.53564
1959-09-01,465.87427
1959-10-01,404.84344
1959-11-01,351.68866
1959-12-01,397.0822
1960-01-01,433.90048
1960-02-01,398.30844
1960-03-01,447.12018
1960-04-01,392.50375
1960-05-01,473.10776
1960-06-01,492.15503
1960-07-01,608.09955
1960-08-01,609.42883
1960-09-01,559.3699
1960-10-01,446.8592
1960-11-01,403.81735
1960-12-01,428.7287
