Month,Passengers
1958-03-01,[386.93459861]
1958-04-01,[376.57520988]
1958-05-01,[374.73000814]
1958-06-01,[430.93707358]
1958-07-01,[473.44249666]
1958-08-01,[463.87022723]
1958-09-01,[410.90414313]
1958-10-01,[353.91966632]
1958-11-01,[313.17884972]
1958-12-01,[348.99524884]
1959-01-01,[354.07388456]
1959-02-01,[336.08126414]
1959-03-01,[388.80916557]
1959-04-01,[385.51959433]
1959-05-01,[400.87974003]
1959-06-01,[479.62037024]
1959-07-01,[531.81110508]
1959-08-01,[535.15422031]
1959-09-01,[457.34624078]
1959-10-01,[405.54621031]
1959-11-01,[360.57194193]
1959-12-01,[396.81019678]
1960-01-01,[416.32882798]
1960-02-01,[398.02020865]
1960-03-01,[457.208467]
1960-04-01,[440.68726401]
1960-05-01,[463.96877334]
1960-06-01,[535.23370027]
1960-07-01,[600.79844096]
1960-08-01,[609.72588553]
1960-09-01,[511.83923157]
1960-10-01,[452.98812423]
1960-11-01,[406.47622378]
1960-12-01,[441.7972768]
