index,sine
110,1.0723236
111,1.0893239
112,1.1477549
113,0.99174404
114,0.9054281
115,0.95044243
116,1.3634819
117,1.502963
118,1.7024328
119,2.0906084
120,2.2422602
121,2.2164538
122,2.5257845
123,2.7961862
124,3.0710163
125,2.9177823
126,3.0531397
127,2.8844535
128,2.8819664
129,2.675964
130,2.473271
131,2.6154222
132,2.2364094
133,2.3700004
134,1.9631035
135,2.0615294
136,1.7436173
137,1.5207684
138,1.4314252
139,1.2620529
140,1.0781252
141,0.9228463
142,0.9900408
143,0.8535999
144,0.8848033
145,1.1234791
146,1.5557182
147,1.8083493
148,1.8222139
149,1.9584459
