index,sine
110,1.2004371
111,1.1545151
112,1.1469984
113,1.162161
114,1.1588635
115,1.181885
116,1.2640793
117,1.4350386
118,1.6287868
119,1.888843
120,2.193776
121,2.3315258
122,2.516848
123,2.7288802
124,2.9157803
125,3.019786
126,3.0162008
127,2.950108
128,2.9461586
129,2.8883533
130,2.637975
131,2.5363955
132,2.3917363
133,2.0897748
134,1.8460882
135,1.7004296
136,1.5202016
137,1.3615595
138,1.254533
139,1.1710107
140,1.1211683
141,1.1150713
142,1.1047643
143,1.1105788
144,1.1504844
145,1.2083118
146,1.411963
147,1.5754837
148,1.7883344
149,1.9538026
