Month,Homicides
2016-03-01,370.59586
2016-04-01,403.27072
2016-05-01,459.11304
2016-06-01,372.21564
2016-07-01,366.21054
2016-08-01,352.27872
2016-09-01,348.09586
2016-10-01,418.07056
2016-11-01,393.27975
2016-12-01,456.48758
2017-01-01,477.33755
2017-02-01,466.65887
2017-03-01,469.4084
2017-04-01,474.97656
2017-05-01,419.69888
2017-06-01,426.04663
2017-07-01,384.29193
2017-08-01,384.7498
2017-09-01,412.1101
2017-10-01,463.2077
2017-11-01,497.70233
2017-12-01,476.6223
2018-01-01,441.5702
2018-02-01,453.93823
2018-03-01,434.65756
2018-04-01,488.28094
2018-05-01,441.78842
2018-06-01,407.68927
2018-07-01,387.2756
2018-08-01,420.79745
2018-09-01,376.59155
2018-10-01,405.6535
2018-11-01,403.56445
2018-12-01,403.2601
2019-01-01,401.17377
2019-02-01,395.217
2019-03-01,321.0667
2019-04-01,347.61578
2019-05-01,354.60138
2019-06-01,358.0732
2019-07-01,336.84238
2019-08-01,323.51895
2019-09-01,305.03534
2019-10-01,314.39047
2019-11-01,324.66318
2019-12-01,315.48642
2020-01-01,318.66635
2020-02-01,345.22543
2020-03-01,326.11
2020-04-01,362.8614
