Month,Homicides
2016-03-01,395.6288
2016-04-01,404.70413
2016-05-01,445.65393
2016-06-01,326.2806
2016-07-01,361.04044
2016-08-01,339.89328
2016-09-01,385.7153
2016-10-01,408.4247
2016-11-01,481.31213
2016-12-01,465.79367
2017-01-01,463.97403
2017-02-01,477.8299
2017-03-01,508.52438
2017-04-01,523.64276
2017-05-01,386.01532
2017-06-01,404.80777
2017-07-01,366.55035
2017-08-01,383.57446
2017-09-01,419.21118
2017-10-01,463.19296
2017-11-01,443.309
2017-12-01,476.62732
2018-01-01,467.46585
2018-02-01,498.6447
2018-03-01,405.4525
2018-04-01,468.92758
2018-05-01,456.5219
2018-06-01,399.31085
2018-07-01,326.06104
2018-08-01,417.04315
2018-09-01,381.77145
2018-10-01,440.00015
2018-11-01,398.8934
2018-12-01,392.28162
2019-01-01,386.55576
2019-02-01,407.46747
2019-03-01,345.01804
2019-04-01,342.27335
2019-05-01,356.70453
2019-06-01,370.2628
2019-07-01,344.38852
2019-08-01,337.9909
2019-09-01,349.01422
2019-10-01,313.6272
2019-11-01,320.86563
2019-12-01,329.2122
2020-01-01,314.3564
2020-02-01,358.55032
2020-03-01,336.57632
2020-04-01,350.14606
