index,sine
110,1.0662034
111,1.0275148
112,1.0491437
113,1.1366509
114,1.0192767
115,1.0910283
116,1.2789797
117,1.37901
118,1.6625963
119,1.886871
120,2.1672347
121,2.3142416
122,2.5839722
123,2.7297196
124,2.9162664
125,2.918549
126,2.8992164
127,3.057187
128,2.8446295
129,2.744777
130,2.5910287
131,2.4995131
132,2.3487496
133,2.0161238
134,1.8981996
135,1.6907629
136,1.4627373
137,1.397321
138,1.2404969
139,1.1402894
140,1.0336523
141,1.0375677
142,0.94038063
143,1.0805038
144,1.128578
145,1.2582484
146,1.3912965
147,1.5206751
148,1.7951605
149,1.9638106
