index,sine
110,1.0673083
111,1.0091511
112,1.0082545
113,1.0296766
114,1.1101216
115,1.2255837
116,1.3752921
117,1.5525593
118,1.7493669
119,1.9579686
120,2.1668804
121,2.3711562
122,2.5565355
123,2.7181873
124,2.8472915
125,2.9400523
126,2.9910007
127,2.997278
128,2.9594178
129,2.8795667
130,2.766827
131,2.608163
132,2.4286973
133,2.235358
134,2.0213563
135,1.8069493
136,1.6085618
137,1.4215089
138,1.2677217
139,1.1401908
140,1.0527699
141,1.0027326
142,0.99972546
143,1.046371
144,1.1328608
145,1.2530931
146,1.4078337
147,1.591432
148,1.7907087
149,2.000354
