Month,Homicides
2016-03-01,413.6635
2016-04-01,411.79855
2016-05-01,455.68463
2016-06-01,346.5236
2016-07-01,359.49152
2016-08-01,340.03476
2016-09-01,353.174
2016-10-01,408.855
2016-11-01,456.97028
2016-12-01,484.34094
2017-01-01,506.3821
2017-02-01,472.43286
2017-03-01,490.61096
2017-04-01,460.46384
2017-05-01,444.35577
2017-06-01,379.0864
2017-07-01,347.42374
2017-08-01,375.70032
2017-09-01,391.35678
2017-10-01,438.25226
2017-11-01,446.27826
2017-12-01,498.95782
2018-01-01,455.02377
2018-02-01,452.81595
2018-03-01,428.69733
2018-04-01,468.935
2018-05-01,423.6235
2018-06-01,395.5727
2018-07-01,363.4071
2018-08-01,392.15485
2018-09-01,354.60095
2018-10-01,414.3324
2018-11-01,383.50446
2018-12-01,397.1312
2019-01-01,381.74377
2019-02-01,397.64633
2019-03-01,351.23288
2019-04-01,342.14325
2019-05-01,341.82233
2019-06-01,311.08362
2019-07-01,317.46304
2019-08-01,336.1973
2019-09-01,330.9497
2019-10-01,338.387
2019-11-01,340.6962
2019-12-01,349.56134
2020-01-01,357.48187
2020-02-01,373.14502
2020-03-01,359.84406
2020-04-01,356.9076
