Month,Homicides
2017-01-01,[496.89662299]
2017-02-01,[483.33529996]
2017-03-01,[530.81440263]
2017-04-01,[497.21525369]
2017-05-01,[447.22873506]
2017-06-01,[397.31906365]
2017-07-01,[385.57702625]
2017-08-01,[413.29208268]
2017-09-01,[402.01754996]
2017-10-01,[440.59592571]
2017-11-01,[449.19542358]
2017-12-01,[487.60323898]
2018-01-01,[483.47694963]
2018-02-01,[470.13461914]
2018-03-01,[495.66486667]
2018-04-01,[465.82465887]
2018-05-01,[435.17439502]
2018-06-01,[388.6298789]
2018-07-01,[374.48939128]
2018-08-01,[413.87590019]
2018-09-01,[401.20705141]
2018-10-01,[419.64981727]
2018-11-01,[400.24668304]
2018-12-01,[420.28025388]
2019-01-01,[402.16709951]
2019-02-01,[377.79141611]
2019-03-01,[390.10847275]
2019-04-01,[334.28427051]
2019-05-01,[294.80535323]
2019-06-01,[254.7427826]
2019-07-01,[264.1172548]
2019-08-01,[297.69780601]
2019-09-01,[309.54436398]
2019-10-01,[335.19008649]
2019-11-01,[327.69205814]
2019-12-01,[351.85877225]
2020-01-01,[358.43075586]
2020-02-01,[338.77942318]
2020-03-01,[367.25696986]
2020-04-01,[338.24505017]
