Month,Passengers
1958-03-01,386.0936
1958-04-01,373.58267
1958-05-01,369.87973
1958-06-01,454.3248
1958-07-01,505.35123
1958-08-01,488.49155
1958-09-01,452.81903
1958-10-01,364.17712
1958-11-01,333.28323
1958-12-01,345.209
1959-01-01,349.9719
1959-02-01,326.36874
1959-03-01,370.49557
1959-04-01,392.2845
1959-05-01,409.71103
1959-06-01,481.33905
1959-07-01,537.2416
1959-08-01,480.36972
1959-09-01,476.065
1959-10-01,395.36398
1959-11-01,353.22876
1959-12-01,363.31732
1960-01-01,406.7241
1960-02-01,403.10672
1960-03-01,451.92603
1960-04-01,420.7388
1960-05-01,505.2245
1960-06-01,546.3621
1960-07-01,589.9271
1960-08-01,618.6508
1960-09-01,513.4405
1960-10-01,442.65134
1960-11-01,427.3617
1960-12-01,438.8504
