index,sine
110,1.0627751
111,1.0117637
112,1.0009276
113,1.0330355
114,1.1108984
115,1.2255503
116,1.3720574
117,1.5553429
118,1.7496159
119,1.9555343
120,2.1678796
121,2.3573945
122,2.5012872
123,2.7168496
124,2.8456154
125,2.945515
126,2.9897301
127,2.9969006
128,2.972464
129,2.8794286
130,2.7606761
131,2.6112306
132,2.4259057
133,2.2310019
134,2.0207546
135,1.811048
136,1.6098955
137,1.4268568
138,1.2709205
139,1.1391026
140,1.0529255
141,1.0072893
142,1.0057058
143,1.0456169
144,1.1305612
145,1.2528567
146,1.412486
147,1.5922554
148,1.7903261
149,2.000272
