Month,Passengers
1958-03-01,362.89597
1958-04-01,350.39868
1958-05-01,357.8075
1958-06-01,446.95468
1958-07-01,487.1077
1958-08-01,468.55948
1958-09-01,465.09985
1958-10-01,368.0334
1958-11-01,325.24283
1958-12-01,367.03003
1959-01-01,364.2941
1959-02-01,312.0263
1959-03-01,407.20068
1959-04-01,396.8977
1959-05-01,425.42722
1959-06-01,500.6547
1959-07-01,526.4139
1959-08-01,538.3254
1959-09-01,476.653
1959-10-01,407.91174
1959-11-01,356.2095
1959-12-01,394.28784
1960-01-01,419.94443
1960-02-01,390.9486
1960-03-01,453.9285
1960-04-01,439.73093
1960-05-01,452.98715
1960-06-01,542.9572
1960-07-01,612.3624
1960-08-01,635.73456
1960-09-01,552.5432
1960-10-01,436.46494
1960-11-01,415.82016
1960-12-01,424.31363
