Month,Passengers
1958-03-01,83.85125
1958-04-01,136.93506
1958-05-01,35.857452
1958-06-01,108.876465
1958-07-01,91.67728
1958-08-01,16.136272
1958-09-01,128.1323
1958-10-01,118.90114
1958-11-01,237.11047
1958-12-01,62.443344
1959-01-01,14.879864
1959-02-01,113.48867
1959-03-01,13.292216
1959-04-01,80.68572
1959-05-01,19.825975
1959-06-01,65.274414
1959-07-01,59.094013
1959-08-01,36.003185
1959-09-01,330.30292
1959-10-01,51.767185
1959-11-01,135.39313
1959-12-01,31.32885
1960-01-01,35.641468
1960-02-01,101.966354
1960-03-01,13.345052
1960-04-01,171.7908
1960-05-01,7.263074
1960-06-01,45.958393
1960-07-01,67.59839
1960-08-01,54.334618
1960-09-01,188.41144
1960-10-01,86.731735
1960-11-01,28.476221
1960-12-01,60.56378
