Month,Passengers
1958-03-01,369.65076
1958-04-01,386.82462
1958-05-01,358.2649
1958-06-01,437.17557
1958-07-01,492.7128
1958-08-01,499.49023
1958-09-01,480.70535
1958-10-01,363.5967
1958-11-01,311.0527
1958-12-01,360.93356
1959-01-01,346.6941
1959-02-01,341.68362
1959-03-01,376.4999
1959-04-01,386.73154
1959-05-01,407.53967
1959-06-01,497.35953
1959-07-01,555.2373
1959-08-01,566.22205
1959-09-01,450.37314
1959-10-01,409.39914
1959-11-01,373.59146
1959-12-01,380.73022
1960-01-01,397.67407
1960-02-01,397.5509
1960-03-01,448.87195
1960-04-01,435.42557
1960-05-01,459.2581
1960-06-01,568.5824
1960-07-01,609.94275
1960-08-01,643.355
1960-09-01,559.6252
1960-10-01,452.21994
1960-11-01,401.1059
1960-12-01,427.42062
