Month,Passengers
1958-03-01,388.7302
1958-04-01,363.55466
1958-05-01,359.22394
1958-06-01,435.99573
1958-07-01,498.75525
1958-08-01,514.716
1958-09-01,436.09183
1958-10-01,364.8216
1958-11-01,319.06512
1958-12-01,305.5177
1959-01-01,342.0973
1959-02-01,321.2318
1959-03-01,405.13458
1959-04-01,368.3182
1959-05-01,409.87863
1959-06-01,487.747
1959-07-01,529.77014
1959-08-01,556.4229
1959-09-01,473.5333
1959-10-01,391.44608
1959-11-01,355.12573
1959-12-01,358.50378
1960-01-01,398.7802
1960-02-01,399.65826
1960-03-01,444.40073
1960-04-01,401.41473
1960-05-01,471.38937
1960-06-01,559.54553
1960-07-01,630.8619
1960-08-01,614.7827
1960-09-01,532.03394
1960-10-01,462.03223
1960-11-01,413.14035
1960-12-01,440.50018
