Month,Passengers
1958-03-01,353.36313
1958-04-01,354.86026
1958-05-01,387.53522
1958-06-01,432.59863
1958-07-01,476.61765
1958-08-01,494.30856
1958-09-01,458.96152
1958-10-01,401.96503
1958-11-01,331.62592
1958-12-01,328.37375
1959-01-01,332.3977
1959-02-01,332.92026
1959-03-01,353.0383
1959-04-01,408.20654
1959-05-01,441.54193
1959-06-01,485.33038
1959-07-01,512.5279
1959-08-01,546.35175
1959-09-01,487.7064
1959-10-01,456.8072
1959-11-01,365.17944
1959-12-01,367.57343
1960-01-01,454.73495
1960-02-01,438.96033
1960-03-01,440.06213
1960-04-01,414.77087
1960-05-01,510.03595
1960-06-01,537.7707
1960-07-01,582.92676
1960-08-01,597.5536
1960-09-01,505.29712
1960-10-01,424.6283
1960-11-01,455.1632
1960-12-01,440.90097
