Month,Passengers
1958-03-01,382.46146
1958-04-01,358.4563
1958-05-01,368.24313
1958-06-01,450.76242
1958-07-01,513.652
1958-08-01,486.02658
1958-09-01,431.8569
1958-10-01,355.63596
1958-11-01,325.46832
1958-12-01,343.79666
1959-01-01,356.95062
1959-02-01,342.20395
1959-03-01,387.51953
1959-04-01,373.90256
1959-05-01,405.0982
1959-06-01,491.2092
1959-07-01,521.9939
1959-08-01,559.0546
1959-09-01,441.7719
1959-10-01,405.3444
1959-11-01,336.32028
1959-12-01,373.6371
1960-01-01,400.8601
1960-02-01,391.90427
1960-03-01,448.51923
1960-04-01,414.71616
1960-05-01,486.10938
1960-06-01,517.2779
1960-07-01,608.58124
1960-08-01,612.01337
1960-09-01,511.38486
1960-10-01,423.0769
1960-11-01,417.36124
1960-12-01,433.48538
