Month,Passengers
1958-03-01,382.33878
1958-04-01,366.99316
1958-05-01,378.68103
1958-06-01,458.6269
1958-07-01,479.10318
1958-08-01,493.8882
1958-09-01,431.59296
1958-10-01,358.5073
1958-11-01,327.44974
1958-12-01,358.43878
1959-01-01,354.4139
1959-02-01,329.31226
1959-03-01,380.1887
1959-04-01,363.1508
1959-05-01,397.40024
1959-06-01,471.66064
1959-07-01,525.7663
1959-08-01,541.39056
1959-09-01,437.16837
1959-10-01,397.65024
1959-11-01,332.12064
1959-12-01,365.70642
1960-01-01,403.24356
1960-02-01,389.19214
1960-03-01,443.66425
1960-04-01,404.92047
1960-05-01,479.62643
1960-06-01,503.97394
1960-07-01,584.6983
1960-08-01,616.6809
1960-09-01,512.4918
1960-10-01,441.6688
1960-11-01,413.59247
1960-12-01,431.7868
