Month,Passengers
1958-03-01,359.993
1958-04-01,351.02667
1958-05-01,379.6044
1958-06-01,437.92136
1958-07-01,475.3234
1958-08-01,497.13083
1958-09-01,472.23666
1958-10-01,405.524
1958-11-01,351.64008
1958-12-01,333.6944
1959-01-01,314.64722
1959-02-01,344.14572
1959-03-01,349.04187
1959-04-01,385.69617
1959-05-01,444.6811
1959-06-01,478.93265
1959-07-01,515.6009
1959-08-01,520.80927
1959-09-01,467.70255
1959-10-01,459.37302
1959-11-01,369.55118
1959-12-01,376.15027
1960-01-01,447.87027
1960-02-01,432.40628
1960-03-01,425.27466
1960-04-01,417.2266
1960-05-01,479.1074
1960-06-01,501.3352
1960-07-01,579.05396
1960-08-01,574.22797
1960-09-01,529.284
1960-10-01,408.83832
1960-11-01,411.9205
1960-12-01,459.84097
