Month,Passengers
1958-03-01,375.89258
1958-04-01,363.81693
1958-05-01,374.61862
1958-06-01,436.849
1958-07-01,477.65588
1958-08-01,475.52475
1958-09-01,457.04
1958-10-01,345.5805
1958-11-01,327.564
1958-12-01,348.11322
1959-01-01,343.5129
1959-02-01,334.2468
1959-03-01,372.6159
1959-04-01,345.5451
1959-05-01,412.7572
1959-06-01,474.2415
1959-07-01,501.21667
1959-08-01,543.9562
1959-09-01,426.69415
1959-10-01,381.0075
1959-11-01,326.47043
1959-12-01,380.45035
1960-01-01,387.51703
1960-02-01,372.657
1960-03-01,439.2738
1960-04-01,396.33334
1960-05-01,446.97562
1960-06-01,496.7891
1960-07-01,587.6893
1960-08-01,595.3042
1960-09-01,511.10367
1960-10-01,414.09595
1960-11-01,417.59094
1960-12-01,429.8071
