Month,Passengers
1958-03-01,359.11145
1958-04-01,379.43286
1958-05-01,393.7257
1958-06-01,440.1952
1958-07-01,513.3944
1958-08-01,516.3381
1958-09-01,435.24774
1958-10-01,369.19556
1958-11-01,333.3769
1958-12-01,349.8329
1959-01-01,366.94043
1959-02-01,355.91168
1959-03-01,350.0224
1959-04-01,367.26276
1959-05-01,393.1833
1959-06-01,451.31204
1959-07-01,532.6103
1959-08-01,538.59296
1959-09-01,451.67633
1959-10-01,382.1374
1959-11-01,337.33197
1959-12-01,363.50204
1960-01-01,404.0249
1960-02-01,383.4528
1960-03-01,402.40033
1960-04-01,422.78497
1960-05-01,469.6962
1960-06-01,511.73535
1960-07-01,586.3995
1960-08-01,603.84064
1960-09-01,518.497
1960-10-01,428.37473
1960-11-01,410.88687
1960-12-01,420.57864
