Month,Passengers
1958-03-01,379.684
1958-04-01,356.9161
1958-05-01,399.56552
1958-06-01,438.16788
1958-07-01,506.19467
1958-08-01,508.81094
1958-09-01,444.44443
1958-10-01,358.93906
1958-11-01,351.0766
1958-12-01,337.5816
1959-01-01,376.78287
1959-02-01,338.7092
1959-03-01,379.0404
1959-04-01,390.49033
1959-05-01,396.87827
1959-06-01,469.25253
1959-07-01,538.62976
1959-08-01,510.5387
1959-09-01,463.027
1959-10-01,391.29837
1959-11-01,340.5462
1959-12-01,408.0842
1960-01-01,420.50012
1960-02-01,393.90933
1960-03-01,444.80212
1960-04-01,442.38412
1960-05-01,466.72293
1960-06-01,525.7955
1960-07-01,608.92377
1960-08-01,615.5907
1960-09-01,549.20264
1960-10-01,449.83722
1960-11-01,408.95523
1960-12-01,432.08145
