Month,Passengers
1958-03-01,[386.04512373]
1958-04-01,[378.59584635]
1958-05-01,[379.24127022]
1958-06-01,[424.88885283]
1958-07-01,[469.00409743]
1958-08-01,[455.3346034]
1958-09-01,[400.56375543]
1958-10-01,[351.13931548]
1958-11-01,[314.5731655]
1958-12-01,[349.97980628]
1959-01-01,[354.28569146]
1959-02-01,[337.3729233]
1959-03-01,[391.47118037]
1959-04-01,[392.01104945]
1959-05-01,[400.66826867]
1959-06-01,[468.99497898]
1959-07-01,[521.18561844]
1959-08-01,[512.70991298]
1959-09-01,[450.45061924]
1959-10-01,[406.38731232]
1959-11-01,[362.77109148]
1959-12-01,[405.04516573]
1960-01-01,[415.68215467]
1960-02-01,[397.12776473]
1960-03-01,[459.24137718]
1960-04-01,[454.56067051]
1960-05-01,[474.38578618]
1960-06-01,[533.27254489]
1960-07-01,[599.0393315]
1960-08-01,[609.12724712]
1960-09-01,[517.43831371]
1960-10-01,[460.36103248]
1960-11-01,[414.21780081]
1960-12-01,[449.47361954]
