Month,Passengers
1958-03-01,[387.16082752]
1958-04-01,[377.57917809]
1958-05-01,[375.91292475]
1958-06-01,[432.36696296]
1958-07-01,[474.71077975]
1958-08-01,[464.20146798]
1958-09-01,[410.54368637]
1958-10-01,[353.08590746]
1958-11-01,[312.53268868]
1958-12-01,[348.36666514]
1959-01-01,[353.60747606]
1959-02-01,[335.89879165]
1959-03-01,[388.79180248]
1959-04-01,[386.24569828]
1959-05-01,[401.98084133]
1959-06-01,[479.66505269]
1959-07-01,[531.33363394]
1959-08-01,[534.47788314]
1959-09-01,[456.34351812]
1959-10-01,[404.44879109]
1959-11-01,[360.24282419]
1959-12-01,[396.96789673]
1960-01-01,[416.05467612]
1960-02-01,[397.75555537]
1960-03-01,[456.82681609]
1960-04-01,[440.78143504]
1960-05-01,[464.3864446]
1960-06-01,[535.31573077]
1960-07-01,[600.60102578]
1960-08-01,[609.33459854]
1960-09-01,[511.48466933]
1960-10-01,[452.61189301]
1960-11-01,[406.40374416]
1960-12-01,[442.07604528]
