Month,Homicides
2016-03-01,405.50516
2016-04-01,394.53476
2016-05-01,384.57556
2016-06-01,334.79694
2016-07-01,341.37476
2016-08-01,366.0
2016-09-01,338.62653
2016-10-01,436.6873
2016-11-01,435.78177
2016-12-01,471.78058
2017-01-01,447.7223
2017-02-01,452.56192
2017-03-01,454.8471
2017-04-01,508.58606
2017-05-01,396.97495
2017-06-01,416.7821
2017-07-01,396.38943
2017-08-01,385.98767
2017-09-01,405.29172
2017-10-01,446.87466
2017-11-01,465.34546
2017-12-01,498.02448
2018-01-01,492.66718
2018-02-01,466.9473
2018-03-01,442.11725
2018-04-01,478.31793
2018-05-01,363.20233
2018-06-01,439.75574
2018-07-01,329.35193
2018-08-01,414.67682
2018-09-01,336.34128
2018-10-01,406.9398
2018-11-01,409.19366
2018-12-01,427.96136
2019-01-01,386.33954
2019-02-01,396.29062
2019-03-01,334.45624
2019-04-01,349.81656
2019-05-01,368.4576
2019-06-01,356.3795
2019-07-01,330.0403
2019-08-01,319.01215
2019-09-01,320.44965
2019-10-01,4.4896436
2019-11-01,361.86887
2019-12-01,350.27814
2020-01-01,342.37088
2020-02-01,336.63733
2020-03-01,326.65582
2020-04-01,368.033
