Month,Homicides
2016-03-01,379.12857
2016-04-01,404.76865
2016-05-01,455.90958
2016-06-01,354.43112
2016-07-01,351.66968
2016-08-01,344.72913
2016-09-01,388.92957
2016-10-01,416.024
2016-11-01,446.68546
2016-12-01,430.09085
2017-01-01,475.34805
2017-02-01,494.06146
2017-03-01,509.38422
2017-04-01,443.15903
2017-05-01,406.6799
2017-06-01,407.3114
2017-07-01,396.34616
2017-08-01,374.19983
2017-09-01,398.4994
2017-10-01,486.0575
2017-11-01,492.0774
2017-12-01,498.4814
2018-01-01,496.48758
2018-02-01,482.5701
2018-03-01,452.0071
2018-04-01,496.0183
2018-05-01,420.17798
2018-06-01,407.06305
2018-07-01,385.6946
2018-08-01,432.78638
2018-09-01,381.2889
2018-10-01,386.4579
2018-11-01,409.2456
2018-12-01,391.1442
2019-01-01,360.8257
2019-02-01,398.18414
2019-03-01,294.83762
2019-04-01,353.75812
2019-05-01,318.16772
2019-06-01,316.20953
2019-07-01,325.29834
2019-08-01,300.83884
2019-09-01,288.37537
2019-10-01,306.79718
2019-11-01,326.51315
2019-12-01,310.3645
2020-01-01,318.39117
2020-02-01,338.0536
2020-03-01,324.5754
2020-04-01,346.7871
