Month,Homicides
2016-03-01,406.80945
2016-04-01,409.10114
2016-05-01,449.24744
2016-06-01,345.54608
2016-07-01,364.50168
2016-08-01,336.49545
2016-09-01,356.89108
2016-10-01,407.41122
2016-11-01,454.15897
2016-12-01,481.7205
2017-01-01,496.02872
2017-02-01,474.80927
2017-03-01,479.002
2017-04-01,462.4566
2017-05-01,436.94028
2017-06-01,380.87006
2017-07-01,352.17297
2017-08-01,378.25574
2017-09-01,385.64752
2017-10-01,442.35126
2017-11-01,451.45123
2017-12-01,493.85565
2018-01-01,454.48727
2018-02-01,454.00592
2018-03-01,421.01352
2018-04-01,470.62686
2018-05-01,421.3173
2018-06-01,385.2545
2018-07-01,366.85114
2018-08-01,397.47406
2018-09-01,358.10687
2018-10-01,413.8556
2018-11-01,382.73306
2018-12-01,396.58005
2019-01-01,385.75266
2019-02-01,397.05075
2019-03-01,350.70245
2019-04-01,338.29797
2019-05-01,345.64188
2019-06-01,314.8327
2019-07-01,316.19443
2019-08-01,330.8245
2019-09-01,329.6868
2019-10-01,338.0083
2019-11-01,340.21643
2019-12-01,350.94778
2020-01-01,353.23215
2020-02-01,377.1517
2020-03-01,357.29175
2020-04-01,358.84714
