Month,Homicides
2017-01-01,500.09305
2017-02-01,485.43237
2017-03-01,453.03857
2017-04-01,466.40686
2017-05-01,424.12708
2017-06-01,378.2414
2017-07-01,357.87436
2017-08-01,386.25766
2017-09-01,407.70425
2017-10-01,442.31573
2017-11-01,444.8687
2017-12-01,500.00977
2018-01-01,472.21228
2018-02-01,447.0477
2018-03-01,419.09702
2018-04-01,465.7156
2018-05-01,446.9293
2018-06-01,394.66037
2018-07-01,368.4682
2018-08-01,393.79492
2018-09-01,357.00568
2018-10-01,403.7334
2018-11-01,396.75638
2018-12-01,396.83823
2019-01-01,397.45944
2019-02-01,407.43118
2019-03-01,358.3591
2019-04-01,349.30078
2019-05-01,353.24683
2019-06-01,308.91803
2019-07-01,318.13025
2019-08-01,331.0299
2019-09-01,323.6322
2019-10-01,316.8964
2019-11-01,336.18494
2019-12-01,346.32367
2020-01-01,357.11084
2020-02-01,381.2463
2020-03-01,361.04846
2020-04-01,364.86786
