Month,Homicides
2016-03-01,387.52628
2016-04-01,413.03635
2016-05-01,471.28802
2016-06-01,353.38843
2016-07-01,380.38953
2016-08-01,337.31552
2016-09-01,352.51907
2016-10-01,401.38177
2016-11-01,458.9904
2016-12-01,431.79776
2017-01-01,477.97858
2017-02-01,457.6793
2017-03-01,472.10727
2017-04-01,461.13248
2017-05-01,414.61978
2017-06-01,403.43243
2017-07-01,376.93506
2017-08-01,381.37378
2017-09-01,401.16467
2017-10-01,453.13025
2017-11-01,472.954
2017-12-01,475.5187
2018-01-01,446.8884
2018-02-01,415.77765
2018-03-01,419.20242
2018-04-01,492.08676
2018-05-01,455.35175
2018-06-01,407.38187
2018-07-01,382.16754
2018-08-01,407.49316
2018-09-01,358.26523
2018-10-01,405.99963
2018-11-01,401.45248
2018-12-01,391.54907
2019-01-01,376.52054
2019-02-01,411.4164
2019-03-01,338.57407
2019-04-01,359.2722
2019-05-01,363.47046
2019-06-01,357.97357
2019-07-01,349.93915
2019-08-01,336.5197
2019-09-01,325.41864
2019-10-01,324.74014
2019-11-01,338.56436
2019-12-01,327.82095
2020-01-01,335.96524
2020-02-01,352.176
2020-03-01,336.64444
2020-04-01,365.11108
