Month,Homicides
2018-01-01,457.6762
2018-02-01,447.11435
2018-03-01,418.52057
2018-04-01,481.55988
2018-05-01,449.31473
2018-06-01,407.78125
2018-07-01,372.57242
2018-08-01,405.64606
2018-09-01,360.07318
2018-10-01,396.4603
2018-11-01,382.4484
2018-12-01,383.44882
2019-01-01,366.1163
2019-02-01,400.1407
2019-03-01,330.84354
2019-04-01,352.20605
2019-05-01,364.5738
2019-06-01,349.76898
2019-07-01,352.82538
2019-08-01,334.28757
2019-09-01,339.00858
2019-10-01,335.9591
2019-11-01,331.7784
2019-12-01,332.0554
2020-01-01,333.81985
2020-02-01,356.37006
2020-03-01,345.90292
2020-04-01,363.20636
