Month,Homicides
2016-03-01,391.52972
2016-04-01,400.58368
2016-05-01,451.50827
2016-06-01,377.18228
2016-07-01,362.59082
2016-08-01,337.87854
2016-09-01,351.66727
2016-10-01,387.7116
2016-11-01,488.17957
2016-12-01,440.83276
2017-01-01,488.01074
2017-02-01,465.34662
2017-03-01,475.48572
2017-04-01,457.62363
2017-05-01,414.37958
2017-06-01,400.31262
2017-07-01,384.4441
2017-08-01,385.61545
2017-09-01,418.64417
2017-10-01,440.08725
2017-11-01,458.3832
2017-12-01,455.73666
2018-01-01,457.4468
2018-02-01,450.33118
2018-03-01,420.9032
2018-04-01,494.61218
2018-05-01,444.72736
2018-06-01,412.7725
2018-07-01,393.20532
2018-08-01,419.6756
2018-09-01,343.50546
2018-10-01,400.9038
2018-11-01,391.8127
2018-12-01,395.73666
2019-01-01,378.73502
2019-02-01,399.06024
2019-03-01,332.7943
2019-04-01,347.01877
2019-05-01,351.6228
2019-06-01,330.83588
2019-07-01,336.67816
2019-08-01,333.00323
2019-09-01,307.68155
2019-10-01,301.1952
2019-11-01,326.56406
2019-12-01,312.74268
2020-01-01,326.09836
2020-02-01,339.39264
2020-03-01,326.6296
2020-04-01,378.08463
