Month,Homicides
2018-01-01,478.53357
2018-02-01,458.92755
2018-03-01,406.47006
2018-04-01,508.70514
2018-05-01,458.61917
2018-06-01,402.75095
2018-07-01,387.88342
2018-08-01,412.67688
2018-09-01,366.10413
2018-10-01,398.38525
2018-11-01,410.31113
2018-12-01,399.96066
2019-01-01,398.62604
2019-02-01,386.23114
2019-03-01,330.73264
2019-04-01,365.81226
2019-05-01,358.78152
2019-06-01,331.90628
2019-07-01,356.48303
2019-08-01,333.60437
2019-09-01,298.2125
2019-10-01,323.27682
2019-11-01,336.4096
2019-12-01,319.59042
2020-01-01,323.38968
2020-02-01,316.97107
2020-03-01,313.86197
2020-04-01,356.90802
