Month,Homicides
2016-03-01,[417.23467849]
2016-04-01,[383.36235299]
2016-05-01,[365.68683116]
2016-06-01,[320.05794557]
2016-07-01,[319.50446588]
2016-08-01,[361.16142622]
2016-09-01,[355.30775443]
2016-10-01,[388.54334084]
2016-11-01,[395.953121]
2016-12-01,[444.72917749]
2017-01-01,[455.66357582]
2017-02-01,[447.64654312]
2017-03-01,[493.08258577]
2017-04-01,[466.86432048]
2017-05-01,[430.22634797]
2017-06-01,[388.55058326]
2017-07-01,[382.1039949]
2017-08-01,[414.60469235]
2017-09-01,[408.22604642]
2017-10-01,[438.22826878]
2017-11-01,[440.16514004]
2017-12-01,[477.56532517]
2018-01-01,[482.12796031]
2018-02-01,[471.48392247]
2018-03-01,[501.4203469]
2018-04-01,[468.50241047]
2018-05-01,[435.32840229]
2018-06-01,[391.89127098]
2018-07-01,[381.50149523]
2018-08-01,[415.2149783]
2018-09-01,[412.4101841]
2018-10-01,[434.98528542]
2018-11-01,[424.12071305]
2018-12-01,[449.74658208]
2019-01-01,[447.9422371]
2019-02-01,[428.61756535]
2019-03-01,[452.13138033]
2019-04-01,[405.95198282]
2019-05-01,[362.55263606]
2019-06-01,[313.85697857]
2019-07-01,[307.31474101]
2019-08-01,[327.53482529]
2019-09-01,[329.1554704]
2019-10-01,[348.88026856]
2019-11-01,[339.88424418]
2019-12-01,[361.85216433]
2020-01-01,[371.29634629]
2020-02-01,[352.32740464]
2020-03-01,[383.67046262]
2020-04-01,[354.17295886]
