index,sine
110,1.145658
111,0.94708526
112,0.72577804
113,1.2313409
114,0.94643766
115,1.0089658
116,1.4585769
117,1.4263853
118,1.8754766
119,2.1780586
120,2.4260077
121,2.2426772
122,2.533222
123,2.76538
124,3.250149
125,2.658306
126,2.857681
127,2.7868226
128,2.8809478
129,2.8958807
130,2.5399241
131,2.4480853
132,1.9515622
133,2.2831964
134,2.0947936
135,1.7981862
136,1.6105886
137,1.4640594
138,1.3345729
139,1.049797
140,0.9427209
141,0.7866551
142,1.1015822
143,0.9141743
144,0.7403988
145,1.0746727
146,1.6457993
147,1.8338976
148,2.0083098
149,1.5776235
