index,sine
110,1.2291319
111,1.0354205
112,1.0121315
113,0.90932864
114,0.84121525
115,0.78286165
116,1.1886466
117,1.3614695
118,1.4155085
119,2.1623645
120,2.3866858
121,2.3651721
122,2.4999287
123,2.9045398
124,2.956528
125,3.0455763
126,3.1757762
127,2.6583345
128,2.6835446
129,2.7954364
130,2.4608805
131,2.3273387
132,2.6979637
133,2.3631413
134,1.9166533
135,1.7090404
136,1.9752182
137,1.396342
138,1.3454995
139,1.0061198
140,1.1973832
141,1.0020816
142,1.2006156
143,1.007374
144,0.8839708
145,1.0433688
146,1.4840741
147,1.8320999
148,1.980824
149,2.0797012
