index,sine
110,0.9719449
111,1.1306027
112,1.1445345
113,1.0390743
114,0.97824615
115,1.0340345
116,0.8972309
117,1.3861746
118,1.9024918
119,2.176273
120,2.2760928
121,2.430215
122,2.366921
123,2.7525568
124,3.0134783
125,2.9409108
126,2.9755359
127,2.746283
128,2.68521
129,2.702828
130,2.379354
131,2.295005
132,2.3703883
133,2.1588628
134,1.8793528
135,1.7970593
136,1.6164733
137,1.4680365
138,1.30824
139,1.0388414
140,1.1038073
141,1.0170838
142,1.0471951
143,1.0716217
144,1.0540787
145,1.100657
146,1.4535643
147,1.5064512
148,1.8334177
149,1.7625147
