index,sine
110,1.038994
111,1.2947317
112,1.1811777
113,0.91266507
114,0.5707047
115,0.93256736
116,1.1512489
117,1.4723583
118,1.7407858
119,1.976284
120,2.147843
121,2.1733904
122,2.390604
123,2.7506685
124,2.743405
125,2.9549646
126,3.0102868
127,2.8629234
128,2.9925652
129,2.9569802
130,2.1747954
131,2.1351871
132,2.2670739
133,2.1654184
134,1.8321817
135,1.6226802
136,1.5791425
137,1.2620077
138,1.2348521
139,1.0887492
140,1.0249966
141,0.8904282
142,0.71883154
143,0.80591655
144,1.2579199
145,1.2657511
146,1.420337
147,1.6931281
148,1.9125643
149,1.7474447
