index,sine
110,0.9999677
111,1.0949842
112,0.97324765
113,1.0712142
114,0.9432205
115,1.2596731
116,1.0897377
117,1.5412761
118,1.8583721
119,1.9586849
120,2.0240767
121,2.3978837
122,2.333082
123,2.7897124
124,2.9667125
125,2.7353394
126,3.1646807
127,2.9474206
128,2.962312
129,2.5623386
130,2.6601222
131,2.5140457
132,2.3890097
133,2.0727005
134,1.8127601
135,1.8295393
136,1.7617605
137,1.4958768
138,1.3625748
139,1.1257182
140,1.2327458
141,0.8014253
142,1.0079529
143,0.7916504
144,0.83672005
145,1.373802
146,1.6294805
147,1.8007376
148,1.9665065
149,1.813962
