index,sine
110,1.1516633
111,1.2045369
112,1.1031016
113,1.0497785
114,1.0468564
115,1.1102272
116,1.21859
117,1.4243803
118,1.6173493
119,1.8825103
120,2.200656
121,2.1721838
122,2.6259577
123,2.8948705
124,3.064891
125,2.7974343
126,2.903486
127,2.7158976
128,2.865378
129,2.826256
130,2.689304
131,2.713162
132,2.2960615
133,2.2299302
134,1.8999592
135,1.5910197
136,1.642127
137,1.3088136
138,1.337791
139,1.0408634
140,1.2051643
141,0.9837484
142,0.98562694
143,0.8678807
144,0.9610133
145,1.2779828
146,1.5188713
147,1.7458744
148,1.8422285
149,1.7867504
