index,sine
110,0.985271
111,1.0774355
112,1.0696932
113,1.2463734
114,1.027868
115,1.0446258
116,1.2049228
117,1.4853567
118,1.6160446
119,1.8932909
120,2.1066592
121,2.321728
122,2.4663396
123,2.802579
124,2.9555757
125,2.8353677
126,2.9481397
127,2.831426
128,2.8387513
129,2.7260602
130,2.5409937
131,2.6439915
132,2.4644356
133,2.179323
134,1.9151855
135,1.5856189
136,1.5572199
137,1.3642093
138,1.2962515
139,1.1340954
140,0.9907095
141,0.91034675
142,1.0412788
143,0.958804
144,0.9165283
145,1.211411
146,1.5171248
147,1.732419
148,1.9202263
149,1.7685529
