index,sine
110,[1.12945189]
111,[0.86413274]
112,[1.04578143]
113,[1.26739319]
114,[1.11855892]
115,[1.00410929]
116,[1.01541751]
117,[1.53404742]
118,[1.48088809]
119,[1.78310072]
120,[1.98314847]
121,[2.18906802]
122,[2.45460334]
123,[2.57848828]
124,[2.73727601]
125,[2.87423605]
126,[3.14004112]
127,[3.14317678]
128,[3.13353866]
129,[2.93297901]
130,[2.553914]
131,[2.63995932]
132,[2.39496342]
133,[2.30318808]
134,[2.17538454]
135,[1.9342685]
136,[1.61675598]
137,[1.58731927]
138,[1.39686381]
139,[1.36787652]
140,[1.08784033]
141,[0.8709215]
142,[1.02493601]
143,[1.10962145]
144,[1.03763504]
145,[0.95204961]
146,[1.13187502]
147,[1.59275328]
148,[1.58971074]
149,[1.84299209]
