index,sine
110,[1.12468122]
111,[0.85763387]
112,[1.04296945]
113,[1.26533366]
114,[1.13627183]
115,[1.02195427]
116,[1.03151381]
117,[1.53559475]
118,[1.48339121]
119,[1.77777643]
120,[1.97679073]
121,[2.1808472]
122,[2.44479716]
123,[2.57064522]
124,[2.70644896]
125,[2.84412504]
126,[3.10087903]
127,[3.11313332]
128,[3.10289194]
129,[2.89885542]
130,[2.54408389]
131,[2.63051207]
132,[2.38270538]
133,[2.2937443]
134,[2.16943416]
135,[1.93222084]
136,[1.61531035]
137,[1.58447147]
138,[1.3943266]
139,[1.37048246]
140,[1.08930871]
141,[0.87314435]
142,[1.03070658]
143,[1.11310616]
144,[1.0529741]
145,[0.96522409]
146,[1.14664192]
147,[1.59898496]
148,[1.59578243]
149,[1.84804678]
