index,sine
110,[0.94531787]
111,[0.9200456]
112,[0.95070423]
113,[1.52829562]
114,[1.07580444]
115,[1.13864921]
116,[0.94353127]
117,[1.69522209]
118,[1.66073924]
119,[1.84349266]
120,[2.15265204]
121,[2.39710941]
122,[2.57378714]
123,[2.71482274]
124,[2.72639624]
125,[2.70991132]
126,[3.15833331]
127,[2.96599753]
128,[2.96277424]
129,[2.93458459]
130,[2.4970329]
131,[2.51130189]
132,[2.55122285]
133,[2.2985697]
134,[2.02205243]
135,[1.7720235]
136,[1.55579534]
137,[1.58155415]
138,[1.27921549]
139,[1.31941358]
140,[0.98481393]
141,[0.98890842]
142,[0.99031572]
143,[1.06008393]
144,[0.9187824]
145,[0.98622239]
146,[1.3474268]
147,[1.77742805]
148,[1.88831992]
149,[2.00784558]
