index,sine
110,1.0656887
111,1.0125306
112,1.0013897
113,1.0345658
114,1.1127118
115,1.2256466
116,1.3732888
117,1.5530388
118,1.7499753
119,1.782175
120,2.1696184
121,2.370445
122,2.5547621
123,2.718399
124,2.8472528
125,2.9402118
126,2.990613
127,3.0037389
128,2.9597645
129,2.8805938
130,2.7596927
131,2.6130815
132,2.4280124
133,2.2301228
134,2.0204577
135,1.8107681
136,1.6119521
137,1.4264455
138,1.2658367
139,1.1445967
140,1.0529295
141,1.0061269
142,1.004164
143,1.0462903
144,1.1304398
145,1.2540524
146,1.4074019
147,1.5907347
148,1.7946645
149,1.9951617
