index,sine
110,1.0675701
111,1.0148263
112,1.0013903
113,1.0342149
114,1.1159934
115,1.2256457
116,1.3751676
117,1.5527711
118,1.7494689
119,1.959467
120,2.1676502
121,2.3714907
122,2.5543993
123,2.7140129
124,2.8524218
125,2.9407735
126,2.992801
127,3.000885
128,2.9598205
129,2.8802369
130,2.7884157
131,2.6061108
132,2.4368281
133,2.2297623
134,2.0211499
135,1.8107107
136,1.6100352
137,1.4261764
138,1.2682923
139,1.1413304
140,1.0529281
141,1.007412
142,1.0044465
143,1.0455703
144,1.1300962
145,1.2562488
146,1.4059339
147,1.5919175
148,1.7907144
149,1.9999608
