index,sine
110,1.0627153
111,1.0129944
112,1.0026678
113,1.0345076
114,1.1079661
115,1.2224274
116,1.3728423
117,1.55142
118,1.7511728
119,1.9452353
120,2.1522934
121,2.370477
122,2.5564826
123,2.7171154
124,2.8517919
125,2.940142
126,2.988219
127,2.9964817
128,2.9599707
129,2.8797379
130,2.7606907
131,2.6036925
132,2.428517
133,2.228275
134,2.0202193
135,1.8111099
136,1.6100552
137,1.425883
138,1.2668724
139,1.1363002
140,1.0526057
141,1.0201105
142,1.0108486
143,1.058382
144,1.1304773
145,1.2528838
146,1.4088078
147,1.5885637
148,1.7902497
149,1.9999851
